,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1651,1,3,9500,142.0,1,1,4,7,131.0,1,0,1,0,0,18,8,7,14.7,8,7,14.7,10.8,1.4,1.74,0
1653,1,3,9556,122.0,19,19,3,10,113.3,1,0,1,0,1,20,7,7,13.0,8,8,15.0625,12.4,0.5,1.79,0
1656,1,1,9147,131.0,3,19,1,4,118.8,0,0,1,0,0,19,6,5,13.4,6,5,13.0,16.2,0.3,-0.92,0
1661,1,2,9085,157.0,3,3,5,2,153.9,1,0,1,0,0,18,7,6,16.571428571428573,6,6,15.666666666666666,13.9,-0.3,0.79,0
1662,1,1,9500,150.0,19,1,4,4,137.8,0,0,1,0,0,18,10,7,15.145,8,8,15.7425,15.5,2.8,-4.06,0
1663,17,1,9500,148.0,1,37,9,7,143.3,0,0,1,0,1,18,7,7,13.44285714285714,8,8,15.075,13.9,-0.3,0.79,0
1666,17,1,9238,158.0,1,1,5,6,140.5,0,0,1,0,1,20,9,6,11.333333333333334,6,6,12.333333333333334,10.8,1.4,1.74,0
1674,17,4,9500,136.0,1,1,4,9,128.5,1,0,1,0,0,18,7,6,12.766666666666666,7,6,12.766666666666666,7.6,2.6,0.32,0
1678,17,1,9085,130.0,37,36,4,90,127.6,0,0,1,1,0,23,6,4,14.25,6,5,13.4,7.6,2.6,0.32,0
1682,1,2,9670,124.0,19,1,9,4,117.7,1,1,1,1,0,20,5,4,12.0,6,5,11.6,9.4,-0.8,-3.12,1
1684,17,3,9070,128.0,37,37,5,5,124.5,1,0,1,1,0,18,6,6,14.166666666666666,8,5,13.0,10.8,1.4,1.74,0
1685,1,5,9070,125.0,3,3,2,2,140.8,1,0,1,1,0,22,6,6,14.666666666666666,6,6,15.0,9.4,-0.8,-3.12,0
1692,1,1,9500,133.0,37,38,9,9,130.2,1,0,1,1,1,19,7,7,13.7,9,8,14.022222222222222,16.2,0.3,-0.92,0
1695,17,1,9670,120.0,38,37,9,8,113.4,1,0,1,1,1,19,6,6,13.333333333333334,7,6,13.285714285714286,8.9,1.4,3.51,0
1696,17,1,9070,141.0,19,38,4,5,133.7,1,0,1,1,0,22,7,5,11.4,6,6,12.166666666666666,7.6,2.6,0.32,0
1701,1,1,9773,137.0,1,1,5,5,129.3,1,0,1,1,0,18,6,6,13.666666666666666,6,6,14.5,12.7,3.7,-1.7,0
1703,1,1,9238,130.0,38,38,7,7,136.3,1,0,1,1,0,18,8,6,12.5,7,6,11.5,10.8,1.4,1.74,0
1709,1,3,9500,130.0,37,38,9,5,130.5,1,0,1,0,0,19,7,6,12.45,7,6,12.45,7.6,2.6,0.32,0
1714,17,4,9238,140.0,19,37,9,9,130.2,1,0,1,0,1,18,8,6,12.75,10,6,12.166666666666666,12.7,3.7,-1.7,0
1720,17,1,9085,128.0,38,37,9,9,116.5,1,0,1,1,0,18,6,5,12.0,8,5,12.142857142857142,10.8,1.4,1.74,0
1721,1,2,9254,121.0,37,37,9,9,124.2,1,0,1,0,1,18,8,6,10.571428571428571,9,5,11.4,16.2,0.3,-0.92,0
1723,1,1,9773,132.0,2,1,9,9,126.4,1,0,1,0,1,18,9,6,11.166666666666666,11,5,12.4,10.8,1.4,1.74,0
1730,1,3,9147,128.0,3,3,5,10,116.5,0,0,1,1,0,20,7,5,11.6,5,5,12.8,12.4,0.5,1.79,0
1742,1,1,9130,121.0,3,19,2,9,115.4,1,0,1,1,0,18,8,6,13.714285714285714,7,5,13.333333333333334,15.5,2.8,-4.06,1
1759,1,4,9500,117.0,1,1,4,7,109.3,1,0,1,0,1,18,7,7,13.117142857142856,9,7,12.6,11.1,0.6,2.02,0
1760,1,2,9238,121.0,19,19,191,171,119.3,1,1,1,0,0,20,7,6,12.666666666666666,7,6,11.833333333333334,8.9,1.4,3.51,0
1772,1,2,9773,140.0,1,1,9,9,136.9,1,0,1,0,1,19,7,6,13.5,7,6,14.428571428571429,16.2,0.3,-0.92,0
1779,1,1,9500,125.0,37,19,9,9,122.4,1,0,1,1,0,19,7,7,13.725714285714286,8,8,14.5,11.1,0.6,2.02,0
1781,1,5,9070,133.1,1,19,3,3,112.0,1,0,1,1,1,21,6,6,13.5,6,6,11.166666666666666,11.1,0.6,2.02,0
1789,17,3,9254,118.0,19,1,4,4,115.9,1,0,1,1,1,18,7,6,12.142857142857142,8,6,11.333333333333334,8.9,1.4,3.51,0
1795,1,3,9500,134.0,38,38,7,9,132.8,1,0,1,0,1,19,8,7,13.512857142857142,8,7,13.512857142857142,10.8,1.4,1.74,0
1802,1,2,9147,131.0,1,1,9,9,118.8,0,0,1,1,1,18,9,4,11.5,5,5,12.8,12.4,0.5,1.79,0
1811,1,6,9500,127.0,1,19,3,3,120.2,1,0,1,0,1,19,7,7,12.765714285714289,9,8,13.544444444444444,12.4,0.5,1.79,0
1813,1,2,9147,142.0,37,38,9,9,137.5,1,0,1,1,0,19,10,5,12.0,9,5,11.5,13.9,-0.3,0.79,0
1819,17,3,9500,140.0,3,2,3,3,126.4,1,0,1,0,0,18,7,7,13.884285714285712,9,8,14.75,11.1,0.6,2.02,1
1824,1,1,9238,120.0,3,3,3,3,111.6,0,0,1,0,0,20,6,6,14.5,6,6,12.666666666666666,12.4,0.5,1.79,0
1825,17,1,9254,160.0,19,37,5,3,152.0,0,0,1,0,0,18,7,6,14.714285714285714,7,6,14.166666666666666,12.7,3.7,-1.7,0
1826,1,1,9238,141.0,38,1,5,7,132.6,0,0,1,0,1,18,7,6,13.285714285714286,6,6,14.333333333333334,12.4,0.5,1.79,0
1830,1,1,9853,162.0,37,19,9,8,142.8,0,1,1,0,0,18,10,5,13.0,10,4,11.5,12.7,3.7,-1.7,1
1831,1,1,9238,130.0,1,1,4,4,124.8,0,0,1,0,1,18,9,6,11.5,11,5,14.0,11.1,0.6,2.02,0
1834,17,1,9500,137.0,19,38,3,9,124.9,0,0,1,0,1,19,11,6,13.8875,9,8,14.864444444444445,15.5,2.8,-4.06,0
1835,1,1,9238,133.1,38,38,191,192,118.0,0,1,1,0,1,20,7,5,11.4,9,6,11.5,8.9,1.4,3.51,0
1846,17,1,9003,126.0,37,3,5,2,116.9,0,0,1,1,0,19,10,6,13.666666666666666,10,4,12.25,13.9,-0.3,0.79,1
1848,1,2,9500,143.0,5,5,2,2,137.8,0,0,1,1,0,19,10,6,13.492857142857144,9,8,12.68888888888889,12.4,0.5,1.79,0
1856,1,1,9070,136.0,3,3,9,9,136.0,1,1,0,0,1,19,6,6,11.833333333333334,8,6,12.875,10.8,1.4,1.74,0
1857,15,1,9238,150.0,19,1,9,9,146.5,1,1,0,1,0,22,10,5,11.5,8,5,12.4,13.9,-0.3,0.79,0
1858,17,3,9070,130.0,1,4,4,2,131.4,0,0,1,1,0,20,6,6,14.166666666666666,8,6,12.333333333333334,11.1,0.6,2.02,0
1863,17,1,9070,127.0,37,38,9,5,131.2,1,0,1,1,0,18,6,6,11.833333333333334,6,6,13.166666666666666,7.6,2.6,0.32,0
1869,1,1,9773,150.0,19,11,0,0,131.1,1,0,1,1,0,19,6,6,11.666666666666666,10,3,12.666666666666666,7.6,2.6,0.32,0
1874,1,4,9773,133.0,19,19,7,7,134.4,1,0,1,1,1,20,6,6,12.166666666666666,8,4,12.75,9.4,-0.8,-3.12,0
1879,17,1,9500,157.0,19,3,4,9,138.8,0,0,1,1,0,18,8,7,13.55714285714286,8,7,13.55714285714286,12.7,3.7,-1.7,0
1885,1,1,9500,132.0,19,2,9,3,126.0,1,0,1,0,0,19,7,6,12.183333333333332,7,6,12.183333333333332,7.6,2.6,0.32,0
1897,1,1,9773,121.0,3,3,2,2,112.3,1,1,0,0,0,18,7,5,12.2,11,4,11.5,11.1,0.6,2.02,1
1900,43,1,9773,126.0,1,37,3,0,110.0,0,1,1,0,0,20,7,6,13.333333333333334,8,6,12.666666666666666,12.4,0.5,1.79,0
1902,1,1,9130,127.0,1,1,4,4,120.4,1,0,1,0,0,18,9,6,15.125,9,6,14.0,13.9,-0.3,0.79,0
1903,17,1,9500,160.0,19,1,4,10,153.0,1,0,1,0,0,18,7,6,13.116666666666667,7,6,13.116666666666667,7.6,2.6,0.32,0
1904,1,1,9773,121.0,19,1,7,9,117.9,1,0,1,0,0,19,7,6,12.833333333333334,7,6,11.666666666666666,11.1,0.6,2.02,0
1906,1,6,9500,117.0,4,12,5,9,119.8,1,0,1,0,0,18,7,7,13.877142857142855,8,8,15.6625,12.4,0.5,1.79,0
1907,1,6,9500,141.0,19,1,9,10,126.8,1,0,1,0,0,18,8,7,12.944285714285714,8,7,12.944285714285714,10.8,1.4,1.74,0
1909,1,1,9500,148.0,3,3,2,2,137.3,1,0,1,0,0,19,7,6,14.266666666666666,7,6,14.266666666666666,7.6,2.6,0.32,0
1910,1,2,9670,120.0,3,19,4,5,115.5,1,0,1,0,0,18,8,5,13.0,8,5,14.0,13.9,-0.3,0.79,0
1912,1,2,9556,125.0,38,1,9,3,116.3,1,0,1,0,0,18,8,7,13.428571428571429,8,8,15.3125,16.2,0.3,-0.92,0
1914,1,1,9853,142.0,12,12,9,4,132.6,1,0,1,0,0,18,8,5,15.4,7,5,12.2,7.6,2.6,0.32,0
1915,1,4,9500,148.0,1,37,4,8,132.0,1,0,1,0,0,18,7,6,13.45,7,6,13.45,7.6,2.6,0.32,0
1916,17,5,9500,136.0,19,38,5,8,130.3,1,0,1,0,1,18,7,6,12.6,7,6,12.6,7.6,2.6,0.32,0
1917,1,4,9500,123.0,19,38,9,10,116.7,1,0,1,0,0,20,7,7,12.485714285714286,12,8,12.9375,16.2,0.3,-0.92,0
1918,1,2,9070,135.0,19,37,9,9,134.0,1,0,1,0,1,22,10,5,10.8,7,5,12.8,12.7,3.7,-1.7,0
1921,1,2,9238,136.0,37,38,9,8,139.2,1,0,1,0,0,18,7,6,13.833333333333334,6,6,14.0,9.4,-0.8,-3.12,0
1923,17,3,9147,142.0,37,38,5,1,129.4,0,0,1,0,0,18,5,5,13.2,6,4,12.5,9.4,-0.8,-3.12,0
1926,1,1,9085,134.0,38,19,9,4,128.4,1,0,1,0,1,19,7,5,12.5,8,5,12.714285714285714,10.8,1.4,1.74,0
1927,17,2,9773,142.0,19,19,9,9,139.9,0,0,1,0,1,18,7,6,13.428571428571429,6,6,12.5,13.9,-0.3,0.79,0
1929,17,3,9500,133.0,1,1,9,9,128.5,1,0,1,0,1,18,7,7,14.868571428571428,9,8,15.11111111111111,11.1,0.6,2.02,0
1930,1,4,9500,125.0,19,1,1,1,117.8,1,0,1,0,0,18,10,7,13.03,8,8,13.21875,15.5,2.8,-4.06,0
1931,17,1,9670,120.0,38,38,5,7,115.1,1,0,1,0,0,19,7,6,14.571428571428571,7,6,12.333333333333334,12.4,0.5,1.79,0
1932,17,2,9238,125.0,19,19,3,3,118.0,1,0,1,0,0,18,9,5,11.0,9,4,11.25,8.9,1.4,3.51,0
1934,1,4,9500,133.1,19,38,9,9,119.6,1,0,1,0,1,19,7,6,12.808333333333332,11,7,12.825714285714286,12.4,0.5,1.79,0
1935,17,6,9500,143.0,1,38,3,3,133.2,1,0,1,0,0,18,7,7,13.918571428571427,9,8,13.8875,11.1,0.6,2.02,0
1936,17,1,9130,147.0,4,1,2,10,141.8,1,0,1,0,0,19,8,6,13.0,9,4,12.8,13.9,-0.3,0.79,0
1937,1,1,9500,142.0,19,38,4,5,130.3,0,0,1,0,0,18,7,6,13.683333333333332,7,6,13.683333333333332,7.6,2.6,0.32,0
1939,1,2,9773,124.0,3,3,3,4,114.6,1,0,1,0,0,21,8,5,12.8,7,5,11.2,11.1,0.6,2.02,0
1940,1,2,9254,136.0,1,1,9,4,123.4,1,0,1,0,1,18,9,6,13.571428571428571,6,6,12.166666666666666,8.9,1.4,3.51,0
1941,1,1,9238,116.0,38,38,9,6,116.4,1,0,1,0,0,18,6,6,13.166666666666666,6,6,13.166666666666666,8.9,1.4,3.51,0
1942,1,1,9070,127.0,12,19,9,9,123.2,0,0,1,0,1,20,6,6,15.0,6,6,14.5,11.1,0.6,2.02,0
1943,1,1,9070,117.0,4,19,3,5,123.7,1,0,1,0,0,19,6,6,12.666666666666666,8,5,11.4,12.4,0.5,1.79,0
1944,1,2,9773,116.0,1,19,4,7,127.6,1,0,1,0,1,19,7,6,13.857142857142858,7,6,13.142857142857142,13.9,-0.3,0.79,1
1948,1,1,9773,139.0,38,38,9,9,145.0,1,0,1,0,1,18,6,6,13.333333333333334,6,6,13.333333333333334,9.4,-0.8,-3.12,0
1953,1,4,9254,132.0,1,38,5,6,122.6,1,0,1,0,1,18,7,6,12.285714285714286,6,6,12.0,8.9,1.4,3.51,0
1955,18,1,9853,117.0,19,38,4,0,113.5,1,0,1,0,0,19,10,6,12.166666666666666,9,6,13.166666666666666,12.4,0.5,1.79,0
1958,1,1,9238,133.1,12,38,4,9,107.0,1,0,1,0,0,19,11,5,10.6,10,6,11.714285714285714,11.1,0.6,2.02,1
1960,1,1,9238,134.0,1,1,4,9,124.2,1,1,1,0,1,19,6,6,12.833333333333334,6,6,12.666666666666666,9.4,-0.8,-3.12,0
1962,1,1,9670,115.0,1,1,5,4,108.0,1,0,1,0,1,20,9,5,13.0,6,5,13.8,12.4,0.5,1.79,0
1963,1,2,9500,119.0,1,1,4,4,115.2,1,0,1,0,1,20,8,7,12.725,8,8,13.7125,13.9,-0.3,0.79,0
1969,1,4,9670,133.0,1,2,4,7,121.1,1,0,1,0,0,18,7,6,13.666666666666666,9,5,15.4,13.9,-0.3,0.79,0
1971,17,1,9085,128.0,2,19,2,4,123.3,1,0,1,0,1,20,6,6,14.833333333333334,8,6,12.142857142857142,8.9,1.4,3.51,0
1972,17,2,9670,129.0,19,19,5,4,129.4,0,0,1,0,1,19,7,5,11.2,10,5,13.125,10.8,1.4,1.74,1
1973,17,1,9147,122.0,19,19,4,6,119.9,0,0,1,0,1,21,6,5,11.4,6,5,12.2,12.7,3.7,-1.7,0
1974,1,4,9500,140.0,1,12,3,10,131.6,1,0,1,0,0,18,8,7,13.135,9,8,13.244444444444444,12.4,0.5,1.79,0
1979,1,1,9670,123.0,12,1,9,9,119.2,1,0,1,0,1,18,8,5,13.5,6,6,14.5,12.4,0.5,1.79,0
1980,1,1,9147,140.0,19,19,9,9,124.3,1,0,1,0,1,18,8,4,10.75,5,5,13.0,12.4,0.5,1.79,0
1981,17,1,9238,116.0,19,19,7,7,111.1,1,0,1,0,1,18,9,6,11.333333333333334,9,6,11.833333333333334,8.9,1.4,3.51,0
1983,1,1,9500,147.0,38,19,5,8,147.3,0,0,1,0,0,18,7,6,13.966666666666669,7,6,13.966666666666669,7.6,2.6,0.32,0
1985,17,2,9254,108.0,37,37,9,7,108.0,1,0,1,0,1,20,10,4,11.6,10,4,11.75,12.7,3.7,-1.7,0
1988,1,2,9500,116.0,19,37,3,3,109.0,1,0,1,0,1,23,8,6,12.993333333333334,9,8,12.66875,11.1,0.6,2.02,0
1990,17,1,8014,132.0,37,19,5,5,121.2,0,0,1,0,0,18,8,5,12.2,10,5,12.8,10.8,1.4,1.74,0
1993,1,1,9147,136.0,37,38,193,181,125.9,0,0,1,0,0,21,7,5,12.2,7,5,11.8,11.1,0.6,2.02,0
1995,1,5,9238,126.0,30,19,0,2,121.5,1,0,1,0,0,18,8,6,11.333333333333334,6,6,11.666666666666666,7.6,2.6,0.32,0
1997,17,1,9773,121.0,37,37,9,9,122.4,0,0,1,0,0,18,7,6,12.857142857142858,6,6,13.333333333333334,13.9,-0.3,0.79,0
2003,17,5,9853,134.0,19,38,4,8,122.1,1,0,1,0,1,18,8,6,11.666666666666666,9,4,12.0,10.8,1.4,1.74,1
2005,1,1,9085,133.0,1,37,4,10,143.2,0,0,1,0,0,19,7,5,14.4,6,5,13.2,7.6,2.6,0.32,0
2010,18,1,9853,132.0,37,37,9,5,126.1,0,0,1,0,1,18,9,6,12.333333333333334,7,6,12.666666666666666,11.1,0.6,2.02,0
2015,1,1,9238,105.0,19,19,6,6,106.1,1,0,1,0,0,20,6,6,11.5,7,6,13.285714285714286,11.1,0.6,2.02,0
2017,1,1,9500,144.0,38,1,9,10,137.4,0,0,1,0,0,19,7,7,13.542857142857144,9,8,14.22222222222222,16.2,0.3,-0.92,0
2019,1,2,9773,143.0,1,1,4,9,144.1,1,0,1,1,1,19,7,6,13.666666666666666,6,6,13.833333333333334,12.7,3.7,-1.7,0
2023,1,1,9070,116.0,1,12,5,8,110.4,1,0,1,1,0,19,6,6,11.5,8,6,12.285714285714286,8.9,1.4,3.51,0
2025,43,1,9500,141.0,4,19,4,10,100.0,0,0,1,1,0,18,7,7,11.828571428571427,10,7,12.9125,13.9,-0.3,0.79,0
2028,1,1,9500,132.0,19,37,4,9,128.0,1,0,1,0,1,19,7,6,12.966666666666669,7,6,12.966666666666669,7.6,2.6,0.32,0
2029,1,1,9773,135.0,37,38,9,6,122.1,1,0,1,1,0,18,6,6,13.833333333333334,6,6,13.666666666666666,12.7,3.7,-1.7,0
2030,17,2,9500,135.0,19,19,9,10,133.4,1,0,1,0,0,19,7,7,14.125714285714285,8,8,14.36875,11.1,0.6,2.02,0
2038,10,1,9670,148.9,37,37,9,9,148.9,0,0,1,0,0,20,6,5,11.6,6,4,11.5,9.4,-0.8,-3.12,0
2039,1,4,9238,134.0,38,19,7,7,128.4,1,0,1,0,1,18,6,6,12.5,6,6,11.666666666666666,10.8,1.4,1.74,0
2042,1,1,9254,131.0,37,1,9,3,126.1,1,0,1,1,0,18,6,6,13.666666666666666,6,6,13.5,7.6,2.6,0.32,0
2043,1,3,9254,118.0,1,19,9,9,111.7,1,0,1,0,0,19,6,6,12.5,6,6,12.166666666666666,12.4,0.5,1.79,0
2045,1,2,9500,133.0,19,1,9,1,122.2,0,0,1,0,0,20,9,6,12.783333333333331,9,7,12.842857142857143,13.9,-0.3,0.79,0
2048,17,4,9500,138.0,3,1,2,5,134.5,1,0,1,0,0,18,7,7,13.457142857142856,8,8,15.125,13.9,-0.3,0.79,0
2049,1,4,9500,140.0,1,19,9,7,127.0,1,0,1,0,0,19,8,7,13.44285714285714,8,7,13.44285714285714,12.7,3.7,-1.7,0
2051,17,1,9238,133.0,38,38,7,7,125.3,1,0,1,0,1,18,6,6,11.333333333333334,7,6,12.285714285714286,15.5,2.8,-4.06,0
2054,1,2,9556,142.0,1,19,4,5,130.5,1,0,1,0,1,18,8,7,12.214285714285714,8,8,14.0625,16.2,0.3,-0.92,0
2055,1,1,9070,130.0,37,19,9,8,125.5,1,0,1,0,1,19,6,6,14.166666666666666,6,6,13.5,11.1,0.6,2.02,0
2060,17,6,9500,126.0,19,37,3,9,119.4,1,0,1,0,1,19,7,7,13.371428571428572,9,8,13.666666666666666,16.2,0.3,-0.92,0
2061,17,5,9556,139.0,19,19,9,8,121.3,1,0,1,0,1,19,8,7,13.385714285714286,8,8,13.3875,10.8,1.4,1.74,0
2062,1,3,9500,141.0,1,1,9,9,126.3,1,0,1,0,0,18,8,7,13.328571428571427,8,7,13.328571428571427,12.7,3.7,-1.7,0
2064,17,4,9147,120.0,38,19,9,9,111.3,1,0,1,0,0,21,5,5,12.6,5,5,13.2,8.9,1.4,3.51,0
2065,1,2,9853,134.0,1,38,9,8,122.5,1,0,1,0,1,19,7,6,14.0,6,6,15.0,15.5,2.8,-4.06,0
2066,1,5,9254,128.0,19,1,7,10,116.5,1,0,1,0,1,18,7,6,13.428571428571429,6,6,12.666666666666666,8.9,1.4,3.51,0
2067,17,5,9070,133.0,4,1,4,4,132.0,1,0,1,0,1,17,6,6,13.0,6,6,12.5,15.5,2.8,-4.06,0
2070,1,1,9670,113.0,1,37,1,10,116.5,1,0,1,0,0,19,7,6,12.833333333333334,10,6,11.77777777777778,8.9,1.4,3.51,0
2071,1,1,9500,135.0,19,3,9,4,121.5,1,0,1,0,0,18,7,6,12.916666666666666,7,6,12.916666666666666,7.6,2.6,0.32,0
2072,1,1,9670,133.1,38,38,5,9,105.0,1,0,1,0,0,20,9,6,13.285714285714286,8,5,13.8,15.5,2.8,-4.06,0
2073,1,3,9085,130.0,1,19,9,9,121.3,1,0,1,0,1,19,6,5,14.6,5,5,13.8,10.8,1.4,1.74,0
2074,1,1,9238,135.0,19,38,3,9,136.1,1,0,1,0,1,18,6,6,14.0,6,6,13.666666666666666,12.4,0.5,1.79,0
2075,17,2,9238,133.0,37,37,9,4,123.6,0,0,1,0,1,19,7,6,14.142857142857142,6,6,15.0,13.9,-0.3,0.79,0
2076,1,4,9238,123.0,38,1,4,10,129.0,1,0,1,0,0,19,8,6,11.666666666666666,6,6,12.333333333333334,10.8,1.4,1.74,0
2078,17,2,9500,146.0,3,3,3,6,133.4,1,0,1,0,0,18,8,7,12.5,9,7,13.042857142857144,13.9,-0.3,0.79,0
2079,1,5,9500,144.0,38,38,7,7,136.0,1,0,1,0,1,19,7,6,14.15,7,6,14.15,7.6,2.6,0.32,0
2081,1,1,9500,131.0,4,4,2,1,120.5,0,0,1,0,0,19,7,6,14.15,7,6,14.15,7.6,2.6,0.32,0
2082,1,2,9500,141.0,37,37,9,8,130.2,1,0,1,0,0,21,11,7,14.072222222222225,8,8,14.0475,15.5,2.8,-4.06,0
2083,1,3,9773,138.0,3,1,2,3,135.9,1,0,1,0,0,18,7,6,14.857142857142858,6,6,14.666666666666666,13.9,-0.3,0.79,0
2084,1,1,9773,127.0,19,37,9,9,116.5,0,0,1,0,1,19,7,6,14.285714285714286,6,6,13.166666666666666,11.1,0.6,2.02,0
2087,17,1,9130,157.0,3,2,3,6,150.9,1,0,1,0,0,18,8,6,15.0,8,5,15.166666666666666,13.9,-0.3,0.79,1
2088,1,3,9500,129.0,19,19,4,8,127.3,1,0,1,0,1,20,7,6,12.633333333333333,7,6,12.633333333333333,7.6,2.6,0.32,0
2090,1,5,9500,142.0,38,37,5,7,128.8,1,0,1,0,0,18,7,6,14.233333333333334,7,6,14.233333333333334,7.6,2.6,0.32,0
2092,1,1,9500,156.0,5,4,2,1,140.8,0,0,1,0,0,18,8,7,15.7,8,7,15.7,12.7,3.7,-1.7,0
2093,1,1,9500,151.0,37,37,9,9,138.0,1,0,1,0,0,18,7,6,15.2,7,6,15.2,7.6,2.6,0.32,0
2099,17,2,9254,123.0,19,19,5,5,113.2,1,1,1,0,0,19,10,6,12.166666666666666,8,5,11.666666666666666,16.2,0.3,-0.92,1
2102,1,6,9500,138.0,37,37,9,8,127.2,1,0,1,0,1,18,8,7,13.26,8,8,14.28625,15.5,2.8,-4.06,0
2104,1,1,9238,136.0,19,38,9,9,121.7,0,0,1,0,1,20,9,6,11.875,7,6,14.428571428571429,16.2,0.3,-0.92,0
2107,1,1,9773,140.0,37,37,9,9,142.5,1,0,1,0,0,18,6,6,13.333333333333334,9,5,13.2,9.4,-0.8,-3.12,0
2111,17,1,9003,131.0,19,1,9,2,134.5,1,0,1,0,1,19,7,6,15.0,8,6,14.333333333333334,12.4,0.5,1.79,0
2112,1,2,9556,136.0,19,19,9,9,129.5,1,0,1,0,0,18,9,7,15.155555555555557,8,8,16.8,12.7,3.7,-1.7,0
2113,1,1,9238,117.0,38,38,175,183,113.2,1,1,1,0,0,20,8,6,10.666666666666666,7,6,11.857142857142858,11.1,0.6,2.02,0
2114,17,1,9853,158.0,38,37,5,5,140.2,1,0,1,0,0,18,9,5,11.0,9,4,11.25,10.8,1.4,1.74,1
2116,1,1,9238,140.0,1,19,4,4,140.7,0,0,1,0,0,19,7,6,12.285714285714286,7,6,12.0,12.4,0.5,1.79,0
2118,1,4,9773,132.0,12,12,90,4,129.9,1,0,1,0,0,18,6,6,12.666666666666666,8,5,14.4,7.6,2.6,0.32,0
2121,1,1,9147,135.0,1,38,5,5,122.4,0,1,1,0,0,19,10,5,10.875,8,4,12.4,13.9,-0.3,0.79,0
2122,1,1,9147,122.0,37,37,9,7,120.6,1,0,1,0,1,19,5,5,12.8,8,5,11.6,9.4,-0.8,-3.12,0
2126,17,2,9500,131.0,38,1,5,7,118.4,1,0,1,0,1,20,9,6,13.766666666666666,9,8,13.744444444444444,16.2,0.3,-0.92,1
2131,1,1,9238,142.0,1,37,5,7,128.0,0,0,1,0,1,19,8,6,12.25,8,6,12.0,16.2,0.3,-0.92,0
2133,17,5,9500,128.0,1,1,4,5,120.8,1,0,1,0,1,19,9,7,13.507142857142856,12,8,13.05,16.2,0.3,-0.92,0
2134,1,3,9500,150.0,19,38,1,1,130.8,1,0,1,0,0,18,8,7,13.614285714285714,8,7,13.614285714285714,12.7,3.7,-1.7,0
2137,1,5,9773,118.0,38,19,9,9,113.8,1,0,1,0,0,19,7,6,12.333333333333334,7,6,12.5,8.9,1.4,3.51,0
2138,17,2,9556,122.0,19,38,4,8,118.3,1,0,1,0,1,19,7,7,11.971428571428572,8,8,14.4375,15.5,2.8,-4.06,0
2142,17,1,9238,123.0,1,1,9,9,115.7,1,0,1,0,0,21,8,6,12.166666666666666,7,6,13.285714285714286,11.1,0.6,2.02,0
2146,1,1,9070,150.0,37,37,9,6,131.1,0,0,1,0,1,19,7,5,13.4,6,6,12.833333333333334,15.5,2.8,-4.06,0
2147,1,6,9254,129.0,38,19,9,5,117.8,1,0,1,0,0,18,11,6,12.0,11,4,12.5,8.9,1.4,3.51,0
2148,10,1,9085,140.0,19,19,4,5,140.0,1,0,1,0,0,21,6,5,14.2,5,5,14.8,10.8,1.4,1.74,0
2149,1,1,9238,133.1,38,37,5,5,108.0,0,0,1,0,1,20,8,6,12.125,7,6,14.428571428571429,16.2,0.3,-0.92,0
2150,1,1,9853,132.0,1,19,3,3,122.9,1,0,1,0,0,20,7,7,13.857142857142858,7,7,13.285714285714286,11.1,0.6,2.02,0
2152,1,4,9500,137.0,38,37,7,7,126.0,1,0,1,0,0,19,9,7,14.283333333333337,9,8,13.125555555555556,15.5,2.8,-4.06,0
2154,1,1,9070,143.0,38,19,151,193,134.3,1,0,1,0,0,19,6,6,14.666666666666666,7,6,15.142857142857142,8.9,1.4,3.51,0
2155,1,1,9500,148.0,19,19,9,9,138.7,0,0,1,0,1,19,10,7,15.114999999999998,10,8,15.092,15.5,2.8,-4.06,0
2158,1,2,9853,112.0,3,1,3,5,111.0,0,0,1,0,0,21,8,5,13.2,9,5,14.333333333333334,9.4,-0.8,-3.12,0
2160,1,4,9500,142.0,1,3,1,2,133.0,0,0,1,0,1,20,8,7,14.565714285714288,8,7,14.565714285714288,10.8,1.4,1.74,0
2163,17,4,9500,140.0,1,1,3,3,127.6,1,0,1,0,0,23,7,6,13.796666666666669,11,7,13.775,12.4,0.5,1.79,0
2164,1,2,9773,159.0,1,1,3,3,151.0,1,0,1,0,0,18,6,6,14.833333333333334,6,6,15.333333333333334,12.7,3.7,-1.7,0
2166,17,1,9500,148.0,38,37,5,9,137.8,1,0,1,0,1,18,8,7,14.962857142857144,8,7,14.962857142857144,10.8,1.4,1.74,0
2167,1,6,9147,112.0,38,38,9,9,117.3,1,0,1,0,0,20,8,4,12.0,8,5,11.2,11.1,0.6,2.02,0
2168,18,2,9500,131.0,1,3,3,2,121.2,1,0,1,0,0,18,8,7,12.4,9,8,12.8,16.2,0.3,-0.92,0
2169,17,1,9670,145.0,3,3,2,1,129.3,1,0,1,0,0,20,7,6,15.571428571428571,6,6,17.166666666666668,16.2,0.3,-0.92,0
2170,1,5,9500,133.1,1,1,5,8,123.0,1,0,1,0,0,19,8,7,13.714285714285714,8,7,13.714285714285714,12.7,3.7,-1.7,0
